year,provience,C-1 Spruce-Lichen Woodland,C-2 Boreal Spruce,C-3 Mature Jack or Lodgepole Pine,C-4 Immature Jack or Lodgepole Pine,C-5 Red and White Pine,C-7 Ponderosa Pine / Douglas Fir,D-1 Leafless Aspen,D-1/D-2 Aspen,O-1a Matted Grass,Non-fuel,Water,Vegetated Non-Fuel,M-1 Boreal Mixedwood - Leafless (15% Conifer),M-1/M-2 Boreal Mixedwood (25% Conifer),M-1/M-2 Boreal Mixedwood (50% Conifer),M-1/M-2 Boreal Mixedwood (75% Conifer)
2015,British Columbia,10381,113839,618510,386832,45697,17214,179650,225699,97360,54884,5596,65414,132301,437616,61753,81513
2015,Northwest Territories,16626,315059,228399,865962,0,0,256274,1143689,919012,53346,53950,670195,44404,496534,296902,152016
2015,Saskatchewan,23,1248302,2503803,4524903,0,0,645652,1581835,758209,57748,92764,427095,6506,1563335,1045047,1097233
2015,Parks Canada,14036,361638,326412,394812,175,8,565898,847786,208417,93195,11456,111053,29332,532136,1164323,155690
2015,Yukon Territory,39,87276,319116,134143,0,0,163192,312922,63646,33904,5043,35397,44731,301914,14381,47181
2015,Manitoba,724,68126,39216,157281,1,0,36882,84895,119790,2951,5431,117,7,76184,47524,69294
2015,Alberta,35427,399368,230860,375773,547,0,454744,393848,45598,500145,10436,210153,11416,906816,585510,220984
2015,Ontario,10014,43850,32275,45519,0,0,8238,116908,46570,4198,4704,15461,195,73986,26645,19431
2015,Quebec,88,3318,168,7105,15,0,1339,21126,4483,380,794,239,291,10770,5533,2045
2015,Newfoundland and Labrador,55,4395,0,12,0,0,9,3369,536,123,50,0,155,27925,85,310
2015,Nova Scotia,0,979,75,772,0,0,358,405,238,395,68,3,8,343,904,1106
2015,New Brunswick,0,387,11,81,0,0,410,111,493,369,241,0,9,212,342,155
2015,Nunavut,0,3,0,0,0,0,0,357,1,0,0,0,0,21,0,0
2016,Northwest Territories,2114,111504,141786,564765,0,0,198013,282411,308420,115092,20997,35266,3128,295365,70649,87580
2016,Yukon Territory,1,7341,30428,6614,0,0,13281,84970,701,417,861,0,4852,23900,2706,23231
2016,Quebec,64,48322,4314,42424,24,0,1981,90301,9661,1559,16994,3337,3597,127037,20097,15220
2016,Alberta,866,485294,273558,546941,0,0,1561440,199230,48832,22592,3382,5031,9931,1061449,855950,277347
2016,British Columbia,32,40571,175925,37504,2987,3120,193001,48527,55280,2555,910,57360,3597,97245,112172,10933
2016,Parks Canada,217,13563,4944,21000,140,6,15373,35216,21312,10971,1180,538,2986,42621,20644,5699
2016,Newfoundland and Labrador,83,2583,7,206,0,0,0,3387,1640,61,249,0,0,18556,3327,485
2016,Saskatchewan,318,132551,290557,756654,0,0,23095,536771,143133,3138,21272,2470,21219,360919,22266,82410
2016,Manitoba,495,20361,112121,24390,0,0,10680,40704,61733,2093,2833,626,4,56552,14583,31187
2016,Ontario,0,35765,282731,61224,30,0,10393,355738,46297,16026,12276,562,72,15725,29801,7067
2016,Nova Scotia,0,825,85,165,5,0,361,4573,695,242,0,129,2,197,756,550
2016,Nunavut,0,0,0,0,0,0,0,670,775,0,1,0,0,39,0,0
2017,British Columbia,4605,85418,2886053,5204216,486588,66887,25797,805437,880952,116301,19045,25259,258566,106708,86443,169957
2017,Parks Canada,1115,74444,101289,157456,1747,644,123619,226485,112059,30126,44638,27420,116410,66796,119012,39025
2017,Northwest Territories,23652,255737,552641,3757588,0,0,526723,1065064,901992,118382,74309,161527,21919,839570,74320,160375
2017,Quebec,49,28504,24806,27865,0,0,1619,88131,9189,1994,7921,364,8955,110412,3353,18375
2017,Ontario,37407,187266,80581,29853,0,0,2635,402885,133874,73446,32517,792,13,92661,17860,24651
2017,Yukon Territory,53,276107,100472,36617,0,0,187179,664390,468221,351526,3800,14967,69924,1195839,12436,48217
2017,Manitoba,6768,186975,383531,299394,0,0,7565,224839,533036,46485,14716,1737,106,418167,43603,168800
2017,Alberta,4373,79876,40808,25586,239,342,28725,101577,9907,23529,4947,7261,3683,102171,42733,24457
2017,Saskatchewan,459,315996,571769,1677438,0,0,23060,333281,315344,53310,34867,1717,6339,330395,86951,188645
2017,New Brunswick,0,148,0,12,0,0,632,962,1211,8,0,0,0,369,679,45
2017,Nova Scotia,0,599,42,319,0,0,339,2463,389,127,2,123,1,322,3143,943
2017,Nunavut,0,0,0,0,0,0,0,847,597,0,0,0,0,6,4,0
2018,Northwest Territories,826,14591,3220,30626,0,0,2875,17236,19311,9094,677,2821,4325,36900,483,5290
2018,British Columbia,1884,169951,3847078,2723433,298090,60649,164360,1023068,1132997,429006,21121,265358,290370,632334,74218,126938
2018,Parks Canada,1776,40048,95313,53310,440,0,92617,23590,30156,33370,1811,1108,9869,70356,38848,12720
2018,Manitoba,4847,129704,751475,267751,0,0,166853,149696,289057,61933,19816,3484,77,269693,87204,137860
2018,Ontario,17089,176474,762844,133249,695,0,29001,447713,389479,180688,44299,19575,186,172709,144929,47082
2018,Yukon Territory,117,86798,227052,130291,0,0,41976,65967,104552,32759,5713,2111,11283,107422,7970,20677
2018,Saskatchewan,94,88191,246059,392363,0,0,51294,48596,37573,31435,4471,3612,1738,165890,53752,49217
2018,Quebec,617,72263,10804,162737,132,0,2747,268003,104618,4676,27059,113554,7756,128989,15097,27971
2018,Alberta,2936,49208,53195,33475,1,1,26064,83920,6626,12677,250,16975,2495,135006,64885,17802
2018,Nova Scotia,0,234,26,90,0,0,111,784,213,181,0,8,0,93,406,437
2018,New Brunswick,0,9,14,0,0,0,29,2,647,4,0,0,9,56,21,1
2018,Nunavut,0,0,0,0,0,0,0,2356,539,0,7,0,0,13,2,0
2019,Northwest Territories,16192,234052,48050,218948,0,0,50479,99180,267466,13670,7458,16100,609,139910,8831,31711
2019,Ontario,18,205379,1504577,294281,29,0,22486,84651,255321,283456,30605,577,581,48839,60279,33449
2019,Yukon Territory,95,313623,1518064,73065,0,0,191641,171624,222352,103119,4376,3752,49607,98585,29760,70899
2019,Parks Canada,7591,183742,166264,334452,146,20,122165,70704,22048,7561,8788,36331,109,193642,103224,59417
2019,Alberta,8023,1337849,1339808,706162,0,0,657479,542013,60454,15676,9711,5683,68379,1328770,1132634,310321
2019,Saskatchewan,1494,20925,89644,214894,0,0,39648,73341,38595,2278,2480,2015,852,68933,3511,27813
2019,Quebec,31,20405,1414,6986,12,0,759,43368,8828,1171,833,4736,967,9987,1109,1195
2019,Manitoba,21,56297,339720,112879,0,0,25999,40970,110738,16941,7875,2988,15,24253,19514,17830
2019,Nunavut,2,2117,368,7269,0,0,55,9190,2756,0,205,0,0,641,25,1459
2019,British Columbia,187,28376,76426,14150,11489,7575,7234,27245,15015,11031,1425,4117,4579,8064,4645,7899
2020,Quebec,76,58401,21716,25903,5,0,8690,353734,111105,2033,3806,1948,13274,19961,23439,20645
2020,Yukon Territory,0,37405,25832,482,0,0,559,39946,3870,9827,56,11217,759,31099,479,5216
2020,Northwest Territories,352,10159,5890,83457,0,0,593,8640,21931,6735,1715,9106,82,24224,1659,15302
2020,Manitoba,1096,17528,90021,12884,0,0,149385,28555,100132,3884,8106,3284,40,26442,22480,6263
2020,British Columbia,1,6637,81274,9754,26026,2683,970,6175,5733,3250,18,93,5848,1284,151,3089
2020,Alberta,63,11299,4688,5608,7,0,428,556,3948,691,8,1183,51,235,280,1042
2020,Parks Canada,361,1671,4816,1429,46,0,31,3440,8633,396,103,107,445,2019,43,622
2020,Saskatchewan,6,44790,80061,58764,0,0,94455,48455,47422,1682,460,197,24,21711,58695,4293
2020,Newfoundland and Labrador,0,16244,3,1928,0,0,21,4533,215,0,1,0,0,2096,1085,3422
2020,Nova Scotia,0,1822,113,592,0,0,345,2302,437,270,25,0,9,232,476,591
2020,Ontario,1267,65325,16802,7845,1,0,1278,20999,4361,19937,1521,129,13,6539,4212,3948
2020,Nunavut,0,4,0,0,0,0,0,342,134,0,9,0,0,5,7,0
2021,Manitoba,0,129,72,126,0,0,98,12289339,73,3,25,4973,0,33,71,52
2021,Ontario,0,700,1470,1100,0,0,71,7527860,1360,42,1315,3518,0,155,461,250
2021,British Columbia,0,1,4,1,3,0,0,8551333,1,3,0,42685,0,1,0,2
2021,Northwest Territories,6,133,25,91,0,0,11,1613909,146,8,184,270,3,36,35,23
2021,Yukon Territory,0,26,0,2,0,0,5,1400643,19,0,37,372,0,21,2,3
2021,Quebec,1,56,0,11,0,0,0,528650,52,2,38,1773,0,64,0,4
2021,Saskatchewan,0,2,0,0,0,0,0,9129067,0,0,0,105918,0,0,0,1
2021,Alberta,0,3519,801,189,0,0,5530,571886,3373,4029,1,3761,6,402,1446,111
2021,Parks Canada,5,97,19,593,0,0,11,449570,5,3,3,157,2,60,18,96
2021,Nunavut,0,0,0,0,0,0,0,2593,2,0,0,0,0,0,0,0
2021,Nova Scotia,0,0,0,0,0,0,0,1855,0,0,0,70,0,0,0,0
2022,Alberta,0,0,0,0,0,0,0,1213827,0,0,0,46508,0,0,0,0
2022,Northwest Territories,0,0,0,0,0,0,0,5805307,0,0,0,259627,0,0,0,0
2022,Yukon Territory,0,0,0,0,0,0,0,2032959,0,0,0,574,0,0,0,0
2022,Saskatchewan,0,0,0,0,0,0,0,2335615,0,0,0,43041,0,0,0,0
2022,Manitoba,0,0,0,0,0,0,0,1443568,0,0,0,881,0,0,0,0
2022,Quebec,20,7473,176,600,28,0,1291,287859,526,205,16,80,50,1362,296,513
2022,Parks Canada,0,0,0,0,0,0,0,359180,0,0,0,9768,0,0,0,0
2022,Ontario,0,0,0,0,0,0,0,36639,0,0,0,604,0,0,0,0
2022,Newfoundland and Labrador,0,0,0,0,0,0,0,223505,0,0,0,0,0,0,0,0
2022,British Columbia,0,0,0,0,0,0,0,1204101,0,0,0,17696,0,0,0,0
2022,Nova Scotia,0,89,9,106,0,0,16,32282,3,1,0,66,0,101,66,96
2022,Nunavut,0,1,0,0,0,0,0,8193,1743,0,39,0,0,357,4,0
2023,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,36468697,0,0,0,0
2023,Alberta,0,0,0,0,0,0,0,0,0,0,0,20500037,0,0,0,0
2023,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,11546965,0,0,0,0
2023,British Columbia,0,0,0,0,0,0,0,0,0,0,0,23422933,0,0,0,0
2023,Quebec,0,0,0,0,0,0,0,0,0,0,0,46403506,0,0,0,0
2023,Manitoba,0,0,0,0,0,0,0,0,0,0,0,1505388,0,0,0,0
2023,Parks Canada,0,136,464,31,36,0,236,414,1216,41,11,8072178,0,53,156,78
2023,Ontario,0,0,0,0,0,0,0,0,0,0,0,3704749,0,0,0,0
2023,Yukon Territory,0,0,0,0,0,0,0,0,0,0,0,3483955,0,0,0,0
2023,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,253307,0,0,0,0
2023,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,203905,0,0,0,0
2023,Nunavut,0,0,0,0,0,0,0,0,0,0,0,45173,0,0,0,0
2023,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,26034,0,0,0,0
